ward_id,ward_name,month,load_index,peak_load_mw,outage_frequency,power_quality_index,transformer_utilization_pct,renewable_share_pct,stress_level
1,Mahadevapura,2022-01,80,114.4,3.89,40,84.2,10.7,High
1,Mahadevapura,2022-02,48,75.6,2.07,61.6,59.3,24.8,Medium
1,Mahadevapura,2022-03,74,109.1,3.88,40,69.4,16.3,High
1,Mahadevapura,2022-04,82,119.9,3.8,40,79.4,25.4,High
1,Mahadevapura,2022-05,64,90.9,3.08,49.9,52.8,32.8,Medium
1,Mahadevapura,2022-06,72,108.2,4.18,40,67.4,14.4,High
1,Mahadevapura,2022-07,62,98.6,3.04,58.7,67.8,36.1,Medium
1,Mahadevapura,2022-08,75,110.5,3.47,47.5,73,41,High
1,Mahadevapura,2022-09,87,123.7,3.92,40,86.3,37.4,High
1,Mahadevapura,2022-10,69,105.7,3.61,45.3,70.6,30.6,Medium
1,Mahadevapura,2022-11,70,100.8,3.01,40,68.5,14.3,High
1,Mahadevapura,2022-12,81,117.7,4.26,40,79.8,44.8,High
1,Mahadevapura,2023-01,63,97.4,2.39,42,55,17.6,Medium
1,Mahadevapura,2023-02,32,53.8,1.29,90.5,30,43.1,Low
1,Mahadevapura,2023-03,90,132.1,4.68,40,83.9,42.5,High
1,Mahadevapura,2023-04,59,88.4,2.58,51.4,53.6,26.7,Medium
1,Mahadevapura,2023-05,82,118.3,4.57,40,68.1,19.8,High
1,Mahadevapura,2023-06,60,89.6,3.28,54.3,57.8,32.2,Medium
1,Mahadevapura,2023-07,62,92,2.97,55.9,68.1,32.9,Medium
1,Mahadevapura,2023-08,67,101.7,3.32,40,67.7,11.6,Medium
1,Mahadevapura,2023-09,65,95.9,2.66,41.8,64.5,20,Medium
1,Mahadevapura,2023-10,59,91.3,1.88,47.8,54.6,17.8,Medium
1,Mahadevapura,2023-11,71,107.3,3.45,50.1,63.6,40.2,High
1,Mahadevapura,2023-12,95,132.5,5,40,86.3,29.9,High
1,Mahadevapura,2024-01,39,64.1,2.33,84.9,46.5,52.2,Low
1,Mahadevapura,2024-02,69,105.8,3.79,40,73.5,14.8,Medium
1,Mahadevapura,2024-03,95,134.9,5.13,40,81,48.7,High
1,Mahadevapura,2024-04,85,123.4,4.11,40,87.7,28.5,High
1,Mahadevapura,2024-05,62,94.2,3.29,59.4,55,47.6,Medium
1,Mahadevapura,2024-06,55,83.9,2.67,60.7,53.7,31.5,Medium
1,Mahadevapura,2024-07,39,67.7,2.39,82.8,31.3,43.6,Low
1,Mahadevapura,2024-08,57,93.4,2.89,60.5,58.4,40.3,Medium
1,Mahadevapura,2024-09,66,100.6,3.19,51.9,54,41.2,Medium
1,Mahadevapura,2024-10,99,141.3,4.78,40,86.5,22.9,High
1,Mahadevapura,2024-11,60,94.1,3.43,65,57.8,51.1,Medium
1,Mahadevapura,2024-12,74,111.3,3.93,45.6,82,40.9,High
2,Yelahanka,2022-01,67,100.8,3.37,47.6,59.7,33.7,Medium
2,Yelahanka,2022-02,78,114.5,3.74,42.7,73.2,42.7,High
2,Yelahanka,2022-03,77,114.5,3.97,43,72.9,39.2,High
2,Yelahanka,2022-04,68,103.5,3.84,40,63.3,15.3,Medium
2,Yelahanka,2022-05,79,119.2,4.26,40,77.6,11.9,High
2,Yelahanka,2022-06,62,96.4,3.86,40,59.1,7.9,Medium
2,Yelahanka,2022-07,92,133.3,4.32,40,104.2,53.4,High
2,Yelahanka,2022-08,86,120.2,4.19,40,81.9,28.6,High
2,Yelahanka,2022-09,64,97.9,3.3,40,72.6,14.6,Medium
2,Yelahanka,2022-10,62,94.3,3.24,44.8,54.9,21.4,Medium
2,Yelahanka,2022-11,63,99.6,2.92,54.9,60,41.5,Medium
2,Yelahanka,2022-12,65,95.6,3.13,53.2,58.8,39.8,Medium
2,Yelahanka,2023-01,82,120.4,4.1,40,76.5,29.2,High
2,Yelahanka,2023-02,32,60.8,1.62,91.2,35.7,45,Low
2,Yelahanka,2023-03,100,139.9,5.87,40,92.1,24.2,High
2,Yelahanka,2023-04,97,134.5,4.55,40,98.4,48.6,High
2,Yelahanka,2023-05,63,97.1,2.88,56.3,69.1,45.5,Medium
2,Yelahanka,2023-06,88,129.7,4.93,40,83.5,14.9,High
2,Yelahanka,2023-07,29,55.6,0.86,83.1,30,29.8,Low
2,Yelahanka,2023-08,82,124.1,3.65,40,82.6,20.5,High
2,Yelahanka,2023-09,34,65.9,1.64,88.9,30,50.9,Low
2,Yelahanka,2023-10,70,100,3.86,52.9,72.5,54.6,High
2,Yelahanka,2023-11,83,120.5,4.24,40,85.4,45.7,High
2,Yelahanka,2023-12,71,105.1,2.44,44.4,69,31.9,High
2,Yelahanka,2024-01,30,53.8,1.75,75.7,34.3,19.1,Low
2,Yelahanka,2024-02,83,122.7,4.24,40,83.4,42.1,High
2,Yelahanka,2024-03,80,115,4.79,40,80.6,35.3,High
2,Yelahanka,2024-04,86,129.6,5.08,40,90.8,25.8,High
2,Yelahanka,2024-05,97,136,5.78,40,96.1,18.1,High
2,Yelahanka,2024-06,41,65.2,2.17,70.8,36.5,27,Medium
2,Yelahanka,2024-07,57,82.9,2.87,53.4,54.5,27.4,Medium
2,Yelahanka,2024-08,30,55.5,0.86,92.5,30,47,Low
2,Yelahanka,2024-09,79,118.6,3.91,44.2,78,48.9,High
2,Yelahanka,2024-10,45,72.1,2.67,55.7,41.7,12.5,Medium
2,Yelahanka,2024-11,73,108.4,3.55,44.1,86.2,41.1,High
2,Yelahanka,2024-12,96,135.2,4.85,40,94.3,12.2,High
3,Jayanagar,2022-01,78,113.9,4.02,43.4,84.9,42.7,High
3,Jayanagar,2022-02,85,119.6,3.89,40,94.7,41.3,High
3,Jayanagar,2022-03,63,93,3.53,40,60.6,15.7,Medium
3,Jayanagar,2022-04,60,93.5,2.83,53.6,51.7,25.5,Medium
3,Jayanagar,2022-05,91,128.7,4.13,40,93.4,32.8,High
3,Jayanagar,2022-06,71,104,3.54,40,64,19.2,High
3,Jayanagar,2022-07,57,87.8,3.19,65.9,45.7,44.7,Medium
3,Jayanagar,2022-08,46,76,2.15,77.9,38.7,48.6,Medium
3,Jayanagar,2022-09,100,141.5,5.34,40,90.6,22.1,High
3,Jayanagar,2022-10,63,91.7,2.95,57.4,65.7,43.1,Medium
3,Jayanagar,2022-11,44,71.5,2.5,71,42.3,35.4,Medium
3,Jayanagar,2022-12,58,89,2.81,42.4,61,5,Medium
3,Jayanagar,2023-01,98,131.8,4.25,40,105.7,17.2,High
3,Jayanagar,2023-02,48,78.2,1.92,64.9,46.3,34.3,Medium
