ward_id,ward_name,month,traffic_congestion_index,avg_speed_kmph,peak_delay_min,vehicle_density_per_km,accident_rate_per_10k,public_transport_score,stress_level
1,Mahadevapura,2022-01,67,24.8,53,270,2.8,61.5,Medium
1,Mahadevapura,2022-02,48,29.8,32,90,1.56,78.9,Medium
1,Mahadevapura,2022-03,47,31.3,32,111,1.77,73.8,Medium
1,Mahadevapura,2022-04,57,26.5,47,147,2.43,73.8,Medium
1,Mahadevapura,2022-05,36,32.2,35,50,1.75,89.5,Low
1,Mahadevapura,2022-06,88,17.4,68,216,3.65,49.2,High
1,Mahadevapura,2022-07,72,18.7,56,210,2.92,73.4,High
1,Mahadevapura,2022-08,84,20,60,378,3.81,67.6,High
1,Mahadevapura,2022-09,97,12.9,67,332,4.19,54.1,High
1,Mahadevapura,2022-10,69,18.5,60,351,3.21,70,Medium
1,Mahadevapura,2022-11,71,20.9,64,256,2.71,60.5,High
1,Mahadevapura,2022-12,73,20.1,69,330,2.28,72.5,High
1,Mahadevapura,2023-01,70,28.7,55,238,3.35,62,High
1,Mahadevapura,2023-02,27,35.9,17,111,1.05,100,Low
1,Mahadevapura,2023-03,61,27.5,52,313,2.74,79.1,Medium
1,Mahadevapura,2023-04,44,39.9,37,142,1.55,81.9,Medium
1,Mahadevapura,2023-05,58,29,39,203,3.36,71.8,Medium
1,Mahadevapura,2023-06,85,21.5,69,271,2.94,60.4,High
1,Mahadevapura,2023-07,84,20,64,264,2.96,63.9,High
1,Mahadevapura,2023-08,83,17,65,216,2.94,52.5,High
1,Mahadevapura,2023-09,77,17.1,60,208,3.09,59.2,High
1,Mahadevapura,2023-10,70,22.4,53,229,3.28,63.4,High
1,Mahadevapura,2023-11,67,23.4,47,367,2.99,76.7,Medium
1,Mahadevapura,2023-12,88,14.9,69,468,4.12,56.6,High
1,Mahadevapura,2024-01,44,37.6,33,173,2.84,92.7,Medium
1,Mahadevapura,2024-02,72,26.5,56,264,3.14,59.9,High
1,Mahadevapura,2024-03,73,23.5,51,338,3,74.5,High
1,Mahadevapura,2024-04,64,24.2,50,256,2.94,69.9,Medium
1,Mahadevapura,2024-05,36,39.3,34,149,1.82,95.5,Low
1,Mahadevapura,2024-06,67,29.9,52,154,2.54,72.4,Medium
1,Mahadevapura,2024-07,52,37.5,42,98,1.55,86.2,Medium
1,Mahadevapura,2024-08,75,22.9,60,243,3.01,69,High
1,Mahadevapura,2024-09,86,16.3,71,305,3.83,62.7,High
1,Mahadevapura,2024-10,91,13.4,69,387,3.81,50.8,High
1,Mahadevapura,2024-11,52,34.5,39,223,2.26,88.8,Medium
1,Mahadevapura,2024-12,68,22.4,56,296,2.74,74.9,Medium
2,Yelahanka,2022-01,60,29.6,47,312,2.52,75.7,Medium
2,Yelahanka,2022-02,69,27.3,50,284,1.99,75.2,Medium
2,Yelahanka,2022-03,55,29.1,41,264,1.9,83,Medium
2,Yelahanka,2022-04,55,30.5,40,91,2.13,71.3,Medium
2,Yelahanka,2022-05,43,38.1,39,68,1.58,77.9,Medium
2,Yelahanka,2022-06,68,24.4,48,152,2.49,60.1,Medium
2,Yelahanka,2022-07,97,13.5,70,477,3.54,60.4,High
2,Yelahanka,2022-08,95,13.7,63,357,3.72,52.4,High
2,Yelahanka,2022-09,82,16.1,60,233,3.56,53.4,High
2,Yelahanka,2022-10,52,29.6,42,175,2.61,74.2,Medium
2,Yelahanka,2022-11,62,26.2,42,268,2.47,77.1,Medium
2,Yelahanka,2022-12,56,25.7,45,268,1.56,81,Medium
2,Yelahanka,2023-01,80,21.1,63,398,3.2,64.3,High
2,Yelahanka,2023-02,27,42.2,27,50,1.35,100,Low
2,Yelahanka,2023-03,84,14.9,61,391,3.77,56.2,High
