ward_name,lat,lng,ward_name_key,ward_id,ward_name_in_dataset
Mahadevapura,12.9853591,77.7081261,mahadevapura,1,Mahadevapura
Yelahanka,13.107568,77.571198,yelahanka,2,Yelahanka
Jayanagar,12.926,77.5523,jayanagar,3,Jayanagar
Whitefield,12.971389,77.75013,whitefield,4,Whitefield
KR Puram,13.009581,77.695745,krpuram,5,KR Puram
BTM Layout,12.916576,77.610115,btmlayout,6,BTM Layout
Hebbal,13.03577,77.597023,hebbal,7,Hebbal
Rajajinagar,12.990058,77.55249,rajajinagar,8,Rajajinagar
Indiranagar,12.971891,77.641151,indiranagar,9,Indiranagar
Electronic City,12.840711,77.676369,electroniccity,10,Electronic City
Banashankari,12.925453,77.546761,banashankari,11,Banashankari
Malleshwaram,12.989,77.58088889,malleshwaram,12,Malleshwaram
