ward_id,ward_name,month,rainfall_mm,drainage_quality,elevation_category,green_cover_percent,impervious_surface_percent,population_density,water_complaints_count,flood_incidents_count,stress_level
1,Koramangala,2024-01,34.98,average,low,14.9,75.1,18050,92,0,Low
1,Koramangala,2024-02,12.48,average,low,14.8,75.2,18100,92,0,Low
1,Koramangala,2024-03,58.62,average,low,14.7,75.3,18150,84,0,Medium
1,Koramangala,2024-04,31.4,average,low,14.6,75.4,18200,90,0,Low
1,Koramangala,2024-05,130.12,average,low,14.5,75.5,18250,138,0,Medium
1,Koramangala,2024-06,306.21,average,low,14.4,75.6,18300,88,4,Medium
1,Koramangala,2024-07,494.89,average,low,14.3,75.7,18350,165,9,High
1,Koramangala,2024-08,508.55,average,low,14.2,75.8,18400,187,6,High
1,Koramangala,2024-09,268.04,average,low,14.1,75.9,18450,133,2,Medium
1,Koramangala,2024-10,201.43,average,low,14,76,18500,73,1,Medium
1,Koramangala,2024-11,53.46,average,low,13.9,76.1,18550,52,0,Medium
1,Koramangala,2024-12,78.5,average,low,13.8,76.2,18600,77,0,Medium
2,Whitefield,2024-01,6.42,poor,medium,9.9,85.1,22050,72,0,Medium
2,Whitefield,2024-02,28.3,poor,medium,9.8,85.2,22100,86,0,Medium
2,Whitefield,2024-03,30.44,poor,medium,9.7,85.3,22150,61,0,Medium
2,Whitefield,2024-04,5,poor,medium,9.6,85.4,22200,69,0,Medium
2,Whitefield,2024-05,198.81,poor,medium,9.5,85.5,22250,78,5,Medium
2,Whitefield,2024-06,582.95,poor,medium,9.4,85.6,22300,277,8,High
2,Whitefield,2024-07,434.15,poor,medium,9.3,85.7,22350,274,16,High
2,Whitefield,2024-08,321.16,poor,medium,9.2,85.8,22400,228,7,High
2,Whitefield,2024-09,435.25,poor,medium,9.1,85.9,22450,168,13,High
2,Whitefield,2024-10,143,poor,medium,9,86,22500,112,1,Medium
2,Whitefield,2024-11,7.06,poor,medium,8.9,86.1,22550,83,0,Medium
2,Whitefield,2024-12,58.69,poor,medium,8.8,86.2,22600,86,1,Medium
3,Indiranagar,2024-01,59.88,good,high,24.9,60.1,12050,15,0,Low
3,Indiranagar,2024-02,24.1,good,high,24.8,60.2,12100,3,0,Low
3,Indiranagar,2024-03,46.83,good,high,24.7,60.3,12150,8,0,Low
3,Indiranagar,2024-04,58.06,good,high,24.6,60.4,12200,15,0,Low
3,Indiranagar,2024-05,180.27,good,high,24.5,60.5,12250,39,0,Low
3,Indiranagar,2024-06,426.47,good,high,24.4,60.6,12300,55,0,Medium
3,Indiranagar,2024-07,292.04,good,high,24.3,60.7,12350,64,0,Low
3,Indiranagar,2024-08,486.71,good,high,24.2,60.8,12400,57,0,Medium
3,Indiranagar,2024-09,566.49,good,high,24.1,60.9,12450,58,2,Medium
3,Indiranagar,2024-10,241.82,good,high,24,61,12500,32,0,Low
3,Indiranagar,2024-11,42.3,good,high,23.9,61.1,12550,5,0,Low
3,Indiranagar,2024-12,36.42,good,high,23.8,61.2,12600,10,0,Low
4,Jayanagar,2024-01,22.64,good,medium,34.9,50.1,9550,4,0,Low
4,Jayanagar,2024-02,10.73,good,medium,34.8,50.2,9600,1,0,Low
4,Jayanagar,2024-03,78.11,good,medium,34.7,50.3,9650,18,0,Low
4,Jayanagar,2024-04,33.09,good,medium,34.6,50.4,9700,9,0,Low
4,Jayanagar,2024-05,249.59,good,medium,34.5,50.5,9750,32,0,Low
4,Jayanagar,2024-06,296.15,good,medium,34.4,50.6,9800,79,0,Low
4,Jayanagar,2024-07,314.04,good,medium,34.3,50.7,9850,80,0,Low
4,Jayanagar,2024-08,593.69,good,medium,34.2,50.8,9900,160,2,Medium
4,Jayanagar,2024-09,587.21,good,medium,34.1,50.9,9950,142,2,Medium
4,Jayanagar,2024-10,141.65,good,medium,34,51,10000,24,0,Low
4,Jayanagar,2024-11,57.24,good,medium,33.9,51.1,10050,14,0,Low
4,Jayanagar,2024-12,67.7,good,medium,33.8,51.2,10100,14,0,Low
5,Bellandur,2024-01,60.59,poor,low,4.9,95.1,32050,219,8,High
5,Bellandur,2024-02,77.59,poor,low,4.8,95.2,32100,171,8,High
5,Bellandur,2024-03,7.76,poor,low,4.7,95.3,32150,130,4,High
5,Bellandur,2024-04,54.35,poor,low,4.6,95.4,32200,135,5,High
5,Bellandur,2024-05,139.54,poor,low,4.5,95.5,32250,196,8,High
5,Bellandur,2024-06,534.06,poor,low,4.4,95.6,32300,177,27,High
5,Bellandur,2024-07,253.59,poor,low,4.3,95.7,32350,111,9,High
5,Bellandur,2024-08,393.45,poor,low,4.2,95.8,32400,175,11,High
5,Bellandur,2024-09,400.35,poor,low,4.1,95.9,32450,119,15,High
5,Bellandur,2024-10,186.46,poor,low,4,96,32500,173,12,High
5,Bellandur,2024-11,40.94,poor,low,3.9,96.1,32550,113,9,High
5,Bellandur,2024-12,25.63,poor,low,3.8,96.2,32600,125,8,High
6,HSR Layout,2024-01,0.88,average,medium,19.9,70.1,16050,32,0,Low
6,HSR Layout,2024-02,73.28,average,medium,19.8,70.2,16100,48,0,Low
6,HSR Layout,2024-03,65.57,average,medium,19.7,70.3,16150,51,0,Low
6,HSR Layout,2024-04,33.97,average,medium,19.6,70.4,16200,31,0,Low
6,HSR Layout,2024-05,215.96,average,medium,19.5,70.5,16250,64,0,Low
6,HSR Layout,2024-06,573.16,average,medium,19.4,70.6,16300,93,3,High
6,HSR Layout,2024-07,573.71,average,medium,19.3,70.7,16350,173,3,High
6,HSR Layout,2024-08,401.68,average,medium,19.2,70.8,16400,74,1,Medium
6,HSR Layout,2024-09,318.42,average,medium,19.1,70.9,16450,97,0,Medium
6,HSR Layout,2024-10,202.52,average,medium,19,71,16500,93,0,Low
6,HSR Layout,2024-11,71.34,average,medium,18.9,71.1,16550,29,0,Low
6,HSR Layout,2024-12,12.07,average,medium,18.8,71.2,16600,45,0,Low
7,Marathahalli,2024-01,11.82,poor,low,7.9,90.1,28050,123,7,High
7,Marathahalli,2024-02,44.41,poor,low,7.8,90.2,28100,168,9,High
7,Marathahalli,2024-03,15.19,poor,low,7.7,90.3,28150,101,3,High
7,Marathahalli,2024-04,62.25,poor,low,7.6,90.4,28200,149,3,High
7,Marathahalli,2024-05,114.34,poor,low,7.5,90.5,28250,105,11,High
7,Marathahalli,2024-06,591.15,poor,low,7.4,90.6,28300,360,8,High
7,Marathahalli,2024-07,277.85,poor,low,7.3,90.7,28350,290,14,High
7,Marathahalli,2024-08,558.57,poor,low,7.2,90.8,28400,159,9,High
7,Marathahalli,2024-09,381.5,poor,low,7.1,90.9,28450,121,13,High
7,Marathahalli,2024-10,153.58,poor,low,7,91,28500,235,13,High
7,Marathahalli,2024-11,42.5,poor,low,6.9,91.1,28550,79,9,High
7,Marathahalli,2024-12,24.55,poor,low,6.8,91.2,28600,206,7,High
8,Hebbal,2024-01,9.61,average,low,21.9,68.1,11050,88,0,Low
8,Hebbal,2024-02,56.46,average,low,21.8,68.2,11100,97,0,Medium
8,Hebbal,2024-03,18.87,average,low,21.7,68.3,11150,79,0,Low
8,Hebbal,2024-04,32.29,average,low,21.6,68.4,11200,68,0,Low
8,Hebbal,2024-05,157.3,average,low,21.5,68.5,11250,130,0,Medium
8,Hebbal,2024-06,587.54,average,low,21.4,68.6,11300,182,8,High
8,Hebbal,2024-07,336.45,average,low,21.3,68.7,11350,166,5,Medium
8,Hebbal,2024-08,410.91,average,low,21.2,68.8,11400,96,9,High
8,Hebbal,2024-09,461.9,average,low,21.1,68.9,11450,218,8,High
8,Hebbal,2024-10,216.98,average,low,21,69,11500,96,2,Medium
8,Hebbal,2024-11,47.32,average,low,20.9,69.1,11550,69,0,Low
8,Hebbal,2024-12,54.86,average,low,20.8,69.2,11600,49,0,Medium
9,Malleshwaram,2024-01,10.49,good,high,27.9,55.1,14050,1,0,Low
9,Malleshwaram,2024-02,76.91,good,high,27.8,55.2,14100,11,0,Low
9,Malleshwaram,2024-03,66.1,good,high,27.7,55.3,14150,16,0,Low
9,Malleshwaram,2024-04,9.77,good,high,27.6,55.4,14200,1,0,Low
9,Malleshwaram,2024-05,130.67,good,high,27.5,55.5,14250,16,0,Low
9,Malleshwaram,2024-06,468.41,good,high,27.4,55.6,14300,97,0,Medium
9,Malleshwaram,2024-07,289.66,good,high,27.3,55.7,14350,47,0,Low
9,Malleshwaram,2024-08,362.48,good,high,27.2,55.8,14400,97,0,Low
9,Malleshwaram,2024-09,331.39,good,high,27.1,55.9,14450,51,0,Low
9,Malleshwaram,2024-10,128.57,good,high,27,56,14500,16,0,Low
9,Malleshwaram,2024-11,72.48,good,high,26.9,56.1,14550,20,0,Low
9,Malleshwaram,2024-12,48.42,good,high,26.8,56.2,14600,14,0,Low
10,Peenya,2024-01,75.36,poor,medium,5.9,88.1,20050,152,1,Medium
10,Peenya,2024-02,57.42,poor,medium,5.8,88.2,20100,79,1,Medium
10,Peenya,2024-03,71.43,poor,medium,5.7,88.3,20150,66,1,Medium
10,Peenya,2024-04,21.85,poor,medium,5.6,88.4,20200,59,0,Medium
10,Peenya,2024-05,241.73,poor,medium,5.5,88.5,20250,105,5,High
